countryCode,salesOrg
AD,
AE,
AF,
AG,
AI,
AL,
AM,
AO,
AQ,
AR,
AS,
AU,
AW,
AX,
AZ,
BA,
BB,
BD,
BF,
BH,
BI,
BJ,
BL,
BM,
BN,
BO,
BQ,
BR,
BS,
BT,
BV,
BW,
BY,
BZ,
CA,
CC,
CD,
CF,
CG,
CI,
CK,
CL,
CM,
CN,
CO,
CR,
CU,
CV,
CW,
CX,
CY,
DJ,
DM,
DO,
DZ,
EC,
EE,
EG,
EH,
ER,
ET,
FJ,
FK,
FM,
FO,
GA,
GD,
GE,
GF,
GG,
GH,
GI,
GL,
GM,
GN,
GP,
GQ,
GS,
GT,
GU,
GW,
GY,
HK,
HM,
HN,
HR,
HT,
ID,
IL,
IM,
IN,
IO,
IQ,
IR,
IS,
JE,
JM,
JO,
JP,
KE,
KG,
KH,
KI,
KM,
KN,
KP,
KR,
KW,
KY,
KZ,
LA,
LB,
LC,
LI,
LK,
LR,
LS,
LT,
LU,
LV,
LY,
MA,
MC,
MD,
ME,
MF,
MG,
MH,
MK,
ML,
MM,
MN,
MO,
MP,
MQ,
MR,
MS,
MT,
MU,
MV,
MW,
MX,
MY,
MZ,
NA,
NC,
NE,
NF,
NG,
NI,
NP,
NR,
NU,
NZ,
OM,
PA,
PE,
PF,
PG,
PH,
PK,
PM,
PN,
PR,
PS,
PT,
PW,
PY,
QA,
RE,
RU,
RW,
SA,
SB,
SC,
SD,
SG,
SH,
SI,
SJ,
SL,
SM,
SN,
SO,
SR,
SS,
ST,
SV,
SX,
SY,
SZ,
TC,
TD,
TF,
TG,
TH,
TJ,
TK,
TL,
TM,
TN,
TO,
TR,
TT,
CH,1611
TV,
TW,
TZ,
UA,
UG,
UM,
US,
UY,
UZ,
VA,
VC,
VE,
VG,
VI,
VN,
VU,
WF,
WS,
YE,
YT,
ZA,
ZM,
ZW,
AT,1600
SE,5200
ES,1020
BG,2070
IE,1160
NO,5230
SK,2050
GB,3100
DK,5210
GR,1900
NL,5100
IT,1700
DE,1300
RS,2080
RO,2060
CZ,2040
BE,1030
FR,1410
FI,5220
HU,2010
PL,4050
