SOURCE,PRIORITY
RFB,50
ANTHEM,100
ARC,100
ARMSTRONG,100
BLITZ,100
BRANDTONE,100
COMPLAINTS,100
DEX,100
FRONTIER,100
GAZPACHO,100
KANGAROO,100
OUNIVERSE,150
FILE,200
POCKETLINK,200
TRACK,200
WUFOO,200
ASK_ROSANA,300
DATA_SCIENCE_CLOUD,300
EMAKINA,300
GUVELLER,300
MARKETO,300
MELLOWMESSAGE,300
MOBILE,300
OUT_OF_HOME,300
PARDOT,300
TELEGRAM,300
TRIP_ADVISOR,300
UFS_ACADEMY_LITE,300
UFS_APP,300
UFS_APP_SG,300
UFS_TRAINING_ACADEMY_APP,300
WEBUPDATER,300
WHATSAPP,300
ARAMARK,400
B2B_OOH,400
BIDFOOD,400
BLAKEMORES,400
BRAKES,400
BUSINESS_TGT_GRP,400
BWG,400
CATERLYST,400
COM,400
CONSESSIONAIRES_AT,400
CREED,400
CRM,400
CRM_OTHER,400
DIRECT,400
DSR_APP,400
DUNNHUMBY,400
ECCO_JAEGER,400
FAIR_KITCHENS,400
FIREFLY,400
FORCE_MANAGER,400
FORMULA_ONE,400
FRIGEMO,400
FRIGO_DB,400
GCS,400
GFK,400
GMUR,400
GOOGLE,400
GOOGLE_PLACES,400
GRUENENFELDER,400
IAE,400
I-SALES,400
IYSHUBTR,400
LOCAL_BUSINESS,400
LYNAS,400
MAGENTO,400
MANUAL_SSD,400
MILWARD_BROWN,400
MINDSHARE,400
MOBILE_APP,400
MULTIFOOD,400
MUSGRAVES,400
MY_LOCAL_EATZ,400
MY_TSC,400
NEOGRID,400
OMNE,400
OOH_REPORTING_TOOL,400
OOH_WEB,400
OOH_WHOLESALERS,400
PATCH,400
PERA,400
PITCHPOCKET,400
PLANORAMA,400
POS_DATABASE,400
POS_DYNAMIC,400
SAP_SIRIUS,400
SAVONA,400
SENSEDATA,400
SWISS_GATEWAY,400
UFS_APP_DSR,400
UFS_APP_UNICHEF,400
UFS_APP_WUOW,400
UFS_WHOLESALERS,400
VERMO,400
WALKER,400
WEB_SCRAPER,400
WEBINAR,400
ESRA,400
