sourceEntityId;sourceName;countryCode;isActive;name;oldIntegrationId;dateCreated;dateUpdated;channel;subChannel;region;street;houseNumber;houseNumberExtension;city;zipCode;state;countryName;emailAddress;phoneNumber;mobileNumber;faxNumber;hasGeneralOptOut;hasEmailOptIn;hasEmailOptOut;hasDirectMailOptIn;hasDirectMailOptOut;hasTelemarketingOptIn;hasTelemarketingOptOut;hasMobileOptIn;hasMobileOptOut;hasFaxOptIn;hasFaxOptOut;totalDishes;totalLocations;totalStaff;averagePrice;daysOpen;weeksClosed;distributorName;distributorOperatorId;otm;otmEnteredBy;isNotRecalculatingOtm;netPromoterScore;salesRepresentative;cookingConvenienceLevel;isPrivateHousehold;vat;isOpenOnMonday;isOpenOnTuesday;isOpenOnWednesday;isOpenOnThursday;isOpenOnFriday;isOpenOnSaturday;isOpenOnSunday;chainName;chainId;kitchenType
1;WUFOO;TH;A;jรeเzริฐข้าวแsง;;20170413 00:00:00;20170513 00:00:00;;;;;;;นครsาชสีมา;10600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;WUFOO;TH;A;ประเสริฐข้าวแกง;;20160921 00:00:00;20161021 00:00:00;;;;;;;นครราชสีมา ;106f0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;WUFOO;TH;A;ประเสริฐข้าวแกง ;;20161020 00:00:00;20161120 00:00:00;;;;;;;cครราชสีมา;10600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;WUFOO;TH;A;ประเสริฐข้าวแกง;;20150506 00:00:00;20150606 00:00:00;;;;;;;นครราชสีมา;10600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;WUFOO;TH;A;ประเสริฐข้าวแกง;;20170825 00:00:00;20170925 00:00:00;;;;;;;นครราชสีมา;10600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;WUFOO;ZA;A;Pine Lake Inn Hotel;;20150219 00:00:00;20150319 00:00:00;;;;;;;;7975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;WUFOO;ZA;A;Hotel Inn Lake Pine ;;20170805 00:00:00;20170905 00:00:00;;;;;;;;7975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;WUFOO;ZA;A;Hotel Inn Lake Pine ;;20170522 00:00:00;20170622 00:00:00;;;;;;;;y97h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;WUFOO;ZA;A;Pine Lake Inn Hotel;;20151009 00:00:00;20151109 00:00:00;;;;;;;;7975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;WUFOO;ZA;A;Pine Lake Inn Hotel;;20160109 00:00:00;20160209 00:00:00;;;;;;;;7975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;WUFOO;GB;A;Denvers The ;;20161206 00:00:00;20180106 00:00:00;;;;;;;Halifax;5HU TS13 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;WUFOO;GB;A;Denvers The ;;20170705 00:00:00;20170805 00:00:00;;;;;;;Halifax ;TS13 5HU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;WUFOO;GB;A;Denvers The ;;20150610 00:00:00;20150710 00:00:00;;;;;;;Halifax ;TS13 5HU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;WUFOO;GB;A;The Denvers;;20151026 00:00:00;20151126 00:00:00;;;;;;;Halifax;TS13 5HU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;WUFOO;GB;A;The Denvers;;20170601 00:00:00;20170701 00:00:00;;;;;;;Halifax;TS13 5HU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;WUFOO;TH;A;สลัดโรลนครินทร์ ;;20151204 00:00:00;20180104 00:00:00;;;;;;;สมุทรสาคร;50300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;WUFOO;TH;A;สลัดโรลนครินทร์;;20171212 00:00:00;20180112 00:00:00;;;;;;;eมzทtสาคร;50300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;WUFOO;TH;A;สลัดโรลนครินทร์;;20160413 00:00:00;20160513 00:00:00;;;;;;;สมุทรสาคร;50yl0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
